recording_file,sample_mid,is_positive,gt_length_cm,pred_length_cm,gt_weight_g,pred_weight_g,presence_prob,pred_present
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7090,1,23.0,23.5,310.0,299.0,0.9589,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6632,1,21.0,20.53,150.0,145.4,0.9523,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,7030,1,26.0,26.37,390.0,387.0,0.9619,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,5565,1,31.0,31.07,630.0,628.1,0.9804,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1827,0,0.0,22.9,0.0,285.6,0.9383,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7924,0,0.0,30.2,0.0,559.1,0.7666,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,10884,1,31.0,31.75,630.0,620.8,0.9764,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,9844,0,0.0,30.88,0.0,557.5,0.7961,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,9868,1,31.0,31.49,630.0,622.4,0.9796,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,949,1,30.0,29.37,556.0,555.2,0.9686,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3171,1,23.0,22.64,310.0,303.7,0.9548,1
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,5563,1,27.0,27.11,350.0,339.8,0.9043,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,5412,1,26.0,26.48,390.0,380.8,0.9769,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6377,0,0.0,21.43,0.0,129.0,0.5577,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,5331,1,33.0,31.93,680.0,656.6,0.9863,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5253,0,0.0,30.37,0.0,582.1,0.9719,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7232,1,30.0,29.25,580.0,551.2,0.9772,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8053,1,30.0,30.23,580.0,498.9,0.9735,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,10796,1,31.0,31.49,620.0,621.3,0.9363,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,5604,1,23.0,22.98,310.0,302.4,0.939,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,1561,0,0.0,28.72,0.0,552.2,0.7293,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,8870,1,21.0,21.02,150.0,138.9,0.8769,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,843,1,30.0,29.75,556.0,560.2,0.9358,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,11260,1,30.0,29.21,580.0,577.2,0.9652,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9422,1,30.0,31.97,580.0,579.7,0.983,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2727,1,30.0,29.34,580.0,570.5,0.9615,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,7106,1,26.0,25.89,390.0,377.6,0.9629,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,7415,1,21.0,20.55,150.0,197.2,0.8226,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,4973,1,23.0,23.06,310.0,305.5,0.9433,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2613,1,32.0,31.54,630.0,636.1,0.967,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1403,0,0.0,27.55,0.0,530.9,0.9565,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,6204,1,31.0,30.03,620.0,621.6,0.8116,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6049,1,33.0,33.2,680.0,645.4,0.9921,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8717,1,30.0,30.17,580.0,568.1,0.9774,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1660,1,21.0,21.19,150.0,159.0,0.9456,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5953,0,0.0,30.51,0.0,563.9,0.9722,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,402,1,30.0,29.95,556.0,560.5,0.9784,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7547,0,0.0,30.43,0.0,574.5,0.9526,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2241,0,0.0,29.39,0.0,549.0,0.9652,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11733,0,0.0,30.53,0.0,553.8,0.9646,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,5428,1,21.0,20.46,150.0,153.3,0.9232,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,4905,1,30.0,30.78,556.0,559.3,0.97,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1926,1,21.0,22.96,150.0,214.8,0.9603,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,2917,1,26.0,26.94,390.0,391.2,0.9748,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,839,0,0.0,34.41,0.0,731.9,0.9662,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,9381,1,26.0,26.9,390.0,383.5,0.9556,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8467,1,30.0,30.34,580.0,579.7,0.9762,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,5296,1,30.0,30.86,580.0,596.8,0.9726,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,4481,1,33.0,33.15,680.0,667.2,0.9875,1
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,261,0,0.0,24.23,0.0,312.3,0.9116,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,5707,1,30.0,30.04,580.0,569.2,0.9792,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9750,1,21.0,20.33,150.0,128.6,0.5495,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2150,0,0.0,23.18,0.0,259.2,0.7182,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11256,0,0.0,32.35,0.0,639.8,0.6936,1
