recording_file,peak_sample,window_start,window_end,peak_timestamp,window_start_time,window_end_time,presence_prob,length_cm,weight_g
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3519,3500,3538,2025-10-28 11:49:33.131,2025-10-28 11:49:32.652,2025-10-28 11:49:33.611,0.6385,28.51,463.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4027,4008,4046,2025-10-28 11:49:45.849,2025-10-28 11:49:45.369,2025-10-28 11:49:46.313,0.9439,28.22,409.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4115,4096,4134,2025-10-28 11:49:48.041,2025-10-28 11:49:47.577,2025-10-28 11:49:48.519,0.9315,28.66,437.6
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4199,4180,4218,2025-10-28 11:49:50.151,2025-10-28 11:49:49.671,2025-10-28 11:49:50.631,0.8324,33.68,511.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4297,4278,4316,2025-10-28 11:49:52.600,2025-10-28 11:49:52.134,2025-10-28 11:49:53.078,0.8287,31.46,509.2
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4427,4408,4446,2025-10-28 11:49:55.861,2025-10-28 11:49:55.381,2025-10-28 11:49:56.329,0.9632,27.18,391.1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4535,4516,4554,2025-10-28 11:49:58.565,2025-10-28 11:49:58.086,2025-10-28 11:49:59.029,0.9686,29.17,516.9
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4661,4642,4680,2025-10-28 11:50:01.717,2025-10-28 11:50:01.237,2025-10-28 11:50:02.196,0.6322,30.71,468.7
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4751,4732,4770,2025-10-28 11:50:03.972,2025-10-28 11:50:03.491,2025-10-28 11:50:04.435,0.6444,30.2,547.3
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4881,4862,4900,2025-10-28 11:50:07.219,2025-10-28 11:50:06.738,2025-10-28 11:50:07.699,0.9487,29.72,456.1
