2026-06-14 15:36:58 | INFO     | Run ID  : 20260614_153658
2026-06-14 15:36:58 | INFO     | Device  : cpu
2026-06-14 15:36:58 | INFO     | Target  : weight (g)
2026-06-14 15:36:58 | INFO     | Train samples: 497 | Val samples: 269
2026-06-14 15:36:58 | INFO     | Model parameters: 54,722
2026-06-14 15:37:01 | INFO     | Starting training for up to 600 epochs
2026-06-14 15:37:23 | INFO     | Epoch 134/600 | train_loss=1490.9202 | val_loss=3189.7952 | val_mae=83.46g | val_mape=18.84% | val_f1=1.000
2026-06-14 15:37:23 | INFO     | Epoch 135/600 | train_loss=1429.0671 | val_loss=2865.9304 | val_mae=79.09g | val_mape=23.31% | val_f1=1.000
2026-06-14 15:37:23 | INFO     | Epoch 136/600 | train_loss=1321.1441 | val_loss=3279.1050 | val_mae=85.43g | val_mape=19.19% | val_f1=1.000
2026-06-14 15:37:23 | INFO     | Epoch 137/600 | train_loss=1292.0067 | val_loss=3110.1647 | val_mae=83.05g | val_mape=22.69% | val_f1=1.000
2026-06-14 15:37:23 | INFO     | Epoch 138/600 | train_loss=1267.8144 | val_loss=3242.6101 | val_mae=85.30g | val_mape=20.77% | val_f1=1.000
2026-06-14 15:37:23 | INFO     | Epoch 139/600 | train_loss=1701.1828 | val_loss=3298.3866 | val_mae=86.83g | val_mape=21.37% | val_f1=1.000
2026-06-14 15:37:23 | INFO     | Epoch 140/600 | train_loss=1289.0773 | val_loss=3139.5856 | val_mae=83.10g | val_mape=20.39% | val_f1=1.000
2026-06-14 15:37:24 | INFO     | Epoch 141/600 | train_loss=1424.9104 | val_loss=3374.6638 | val_mae=88.16g | val_mape=21.15% | val_f1=1.000
2026-06-14 15:37:24 | INFO     | Epoch 142/600 | train_loss=1263.2587 | val_loss=3123.8580 | val_mae=83.03g | val_mape=21.07% | val_f1=1.000
2026-06-14 15:37:24 | INFO     | Epoch 143/600 | train_loss=1492.9731 | val_loss=3232.8496 | val_mae=85.29g | val_mape=21.37% | val_f1=1.000
2026-06-14 15:37:24 | INFO     | Epoch 144/600 | train_loss=1355.3145 | val_loss=3355.5450 | val_mae=87.52g | val_mape=21.17% | val_f1=1.000
2026-06-14 15:37:24 | INFO     | Epoch 145/600 | train_loss=1371.0706 | val_loss=3313.2630 | val_mae=86.81g | val_mape=21.16% | val_f1=1.000
2026-06-14 15:37:24 | INFO     | Epoch 146/600 | train_loss=1336.5327 | val_loss=3264.9093 | val_mae=86.14g | val_mape=21.50% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 147/600 | train_loss=1494.7143 | val_loss=3046.7034 | val_mae=81.06g | val_mape=19.74% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 148/600 | train_loss=1352.8398 | val_loss=3209.9461 | val_mae=84.92g | val_mape=21.56% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 149/600 | train_loss=1273.2189 | val_loss=3177.8659 | val_mae=83.74g | val_mape=20.57% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 150/600 | train_loss=1304.0924 | val_loss=3174.5447 | val_mae=84.67g | val_mape=21.91% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 151/600 | train_loss=1233.2055 | val_loss=3346.5856 | val_mae=87.33g | val_mape=20.40% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 152/600 | train_loss=1203.4310 | val_loss=3146.6622 | val_mae=83.43g | val_mape=20.88% | val_f1=1.000
2026-06-14 15:37:25 | INFO     | Epoch 153/600 | train_loss=1475.4703 | val_loss=3067.7365 | val_mae=82.00g | val_mape=21.61% | val_f1=1.000
2026-06-14 15:37:26 | INFO     | Epoch 154/600 | train_loss=1386.9349 | val_loss=3243.4258 | val_mae=85.07g | val_mape=20.27% | val_f1=1.000
2026-06-14 15:37:26 | INFO     | Epoch 155/600 | train_loss=1277.1846 | val_loss=3439.2793 | val_mae=89.36g | val_mape=21.16% | val_f1=1.000
2026-06-14 15:37:26 | INFO     | Epoch 156/600 | train_loss=1421.6215 | val_loss=3226.2016 | val_mae=85.20g | val_mape=20.99% | val_f1=1.000
